#  
"1   ";"* 61 Cyg B                         ";Er*;21 06 55.2638444466 +38 44 31.358519864;"8.63     ";"7.40     ";"6.03     ";"4.86     ";"3.55     ";"K7V                    ";" 691";"   1"
"2   ";"* 61 Cyg A                         ";BY*;21 06 53.9395895022 +38 44 57.902349973;"7.50     ";"6.39     ";"5.21     ";"4.19     ";"3.54     ";"K5V                    ";" 986";"   0"
"3   ";"GAT 1383                           ";PM*;21 24 32.3170238073 +40 03 59.693988549;"     ~   ";"17.4     ";"     ~   ";"15.2     ";"     ~   ";"M5.5V                  ";"  15";"   0"
"4   ";"V* EV Lac                          ";Er*;22 46 49.7312610268 +44 20 02.374381562;"     ~   ";"11.85    ";"10.26    ";"9.89     ";"     ~   ";"M4.0V                  ";" 844";"   2"
"5   ";"G 216-43                           ";PM*;23 26 39.6540209032 +45 21 14.082570311;"     ~   ";"12.38    ";"10.93    ";"10.48    ";"     ~   ";"M4.5                   ";"  13";"   0"
"6   ";"HD 38B                             ";PM*;00 05 41.0026267908 +45 48 37.359387405;"     ~   ";"10.34    ";"8.995    ";"     ~   ";"     ~   ";"M0.5V                  ";" 111";"   0"
"7   ";"HD 38A                             ";SB*;00 05 41.0220797201 +45 48 43.550746689;"     ~   ";"10.17    ";"8.826    ";"     ~   ";"     ~   ";"K6V                    ";" 120";"   0"
"8   ";"BD+44 4548                         ";PM*;00 05 10.8891989003 +45 47 11.641457986;"     ~   ";"11.45    ";"     ~   ";"9.2      ";"     ~   ";"M2Ve                   ";" 151";"   0"
"9   ";"G 172-30                           ";PM*;00 57 02.6919355142 +45 05 09.788526472;"     ~   ";"13.19    ";"11.972   ";"11.568   ";"     ~   ";"M3.0Ve                 ";"  38";"   0"
"10  ";"HD 10307                           ";SB*;01 41 47.1268541099 +42 36 48.221567818;"5.69     ";"5.58     ";"4.96     ";"4.43     ";"4.10     ";"G1V                    ";" 480";"   0"
"11  ";"BD+40 883                          ";SB*;21 00 05.3871460816 +40 04 12.650850610;"     ~   ";"11.59    ";"9.97     ";"9.63     ";"7.96     ";"M2.0V+M0.5Ve           ";" 173";"   0"
"12  ";"EGGR 381                           ";WD*;00 12 14.7449947981 +50 25 20.736275736;"     ~   ";"14.6     ";"     ~   ";"14.2     ";"     ~   ";"DA7.6                  ";"  86";"   0"
"13  ";"LP 191-43                          ";PM*;00 08 55.1684292811 +49 18 56.318273095;"     ~   ";"17.5     ";"     ~   ";"15.4     ";"     ~   ";"M5.5V                  ";"  11";"   0"
"14  ";"G 172-1                            ";"** ";00 28 53.9091058743 +50 22 33.127055200;"     ~   ";"14.80    ";"13.17    ";"12.815   ";"     ~   ";"M3.7V                  ";"  42";"   0"
"15  ";"Ross 188                           ";"** ";20 31 25.6383650048 +38 33 44.224535329;"     ~   ";"     ~   ";"13.48    ";"13.07    ";"10.65    ";"M5V                    ";"  38";"   0"
"16  ";"GD 402                             ";WD*;22 18 51.1409905272 +48 39 29.002709232;"     ~   ";"16.7     ";"     ~   ";"15.96    ";"     ~   ";"DA8.3                  ";"  20";"   0"
"17  ";"BD+44 3567                         ";PM*;20 45 04.0992448490 +44 29 56.645139366;"     ~   ";"12.03    ";"10.704   ";"10.299   ";"8.57     ";"M2V                    ";" 140";"   0"
"18  ";"G 233-42                           ";PM*;23 09 57.8595732308 +55 06 47.377836794;"     ~   ";"17.0     ";"     ~   ";"14.6     ";"     ~   ";"M5V                    ";"  16";"   0"
"19  ";"G 218-20                           ";Er*;01 01 59.4949257485 +54 10 57.701837835;"     ~   ";"16.96    ";"     ~   ";"14.608   ";"     ~   ";"M5                     ";"  31";"   0"
"20  ";"* mu. Cas                          ";SB*;01 08 16.3029454473 +54 55 12.561201263;"5.93     ";"5.86     ";"5.17     ";"4.55     ";"4.13     ";"G5Vb                   ";" 556";"   1"
"21  ";"G 173-37                           ";PM*;02 07 03.8561077659 +49 38 43.461973111;"     ~   ";"13.0     ";"     ~   ";"11.892   ";"     ~   ";"M3.5V                  ";"  35";"   0"
"22  ";"G 173-39                           ";Er*;02 08 53.6246553758 +49 26 56.437533465;"     ~   ";"14.02    ";"12.45    ";"12.12    ";"     ~   ";"M4.0V                  ";"  63";"   0"
"23  ";"BD+47 612                          ";PM*;02 22 14.6437562448 +47 52 48.104862600;"     ~   ";"10.85    ";"     ~   ";"9.104    ";"     ~   ";"M0V                    ";" 128";"   0"
"24  ";"G 95-30                            ";PM*;03 23 01.7606044623 +42 00 26.846256845;"     ~   ";"17.22    ";"     ~   ";"14.2     ";"     ~   ";"M5V                    ";"  27";"   0"
"25  ";"HD 219134                          ";Er*;23 13 16.9749603608 +57 10 06.083823619;"7.460    ";"6.560    ";"5.570    ";"4.76     ";"4.23     ";"K3V                    ";" 556";"   1"
"26  ";"BD+57 2735                         ";PM*;23 24 30.5146230120 +57 51 15.517884924;"     ~   ";"11.56    ";"     ~   ";"9.586    ";"     ~   ";"M1.5Ve                 ";" 108";"   0"
